Aishe Code,University Name,State,District,Web Url,University Type,Year Of Establishment,Location,Address
U-0395,"Indian Institute Of Technology, Jodhpur",Rajasthan,Jodhpur,https://iitj.ac.in/,Institute of National Importance,2008,Urban,"Indian Institute of Technology Jodhpur, Nh 65, Nagaur Road, Karwar, Jodhpur"
U-0396,"Institute Of Advanced Studies In Education, Churu",Rajasthan,Churu,www.iaseuniversity.org.in,Deemed University-Private,1953,Rural,"Gandhi Vidya Mandir, Sardarshahr"
U-0397,"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur",Rajasthan,Jaipur,www.jrrsanskrituniversity.ac.in,State Public University,1998,Urban,"Village Madau, Post Bhankrota, Jaipuir, Jaipur"
U-0398,"Jagannath University, Jaipur",Rajasthan,Jaipur,www.jagannathuniversity.org,State Private University,2008,Rural,"NH-12, Chaksu Bypass, Tonk Road,, Jaipur"
U-0399,"Jai Narain Vyas University, Jodhpur",Rajasthan,Jodhpur,jnvu.edu.in,State Public University,1962,Urban,"Residency Road, Jodhpur, Jodhpur, Jodhpur"
U-0400,"Jain Vishva Bharati Institute, Nagaur",Rajasthan,Nagaur,https://jvbi.ac.in,Deemed University-Private,1991,Rural,"Jain Vishva Bharati Institute(Deemed University), First Lane, Ladnun-341306"
U-0401,"Jaipur National University, Jaipur",Rajasthan,Jaipur,www.jnujaipur.ac.in,State Private University,2002,Urban,"Jaipur-Agra Bypass, Near New RTO Office, Jagatpura, Jaipur"
U-0402,"Janardan Rai Nagar Rajasthan Vidyapeeth, Udaipur",Rajasthan,Udaipur,www.jrnrvu.edu.in,Deemed University-Private,1937,Urban,"Air Port Road,, Pratap Nagar, Udaipur"
U-0404,"Jayoti Vidyapeeth Women's University, Jaipur",Rajasthan,Jaipur,www.jvwu.ac.in,State Private University,2008,Rural,"Vedaant Gyan Valley, Village-Jharna, Mahala Jobner Link Road,, Jaipur Ajmer Express Way, NH-8, Jaipur"
U-0405,"Lnm Institute Of Information Technology, Jaipur",Rajasthan,Jaipur,www.lnmiit.ac.in,Deemed University-Private,2002,Rural,"Gram-Rupa Ki Nangal, Post-Sumel, Via-Jamdoli, Jaipur, Rajasthan, Jaipur"
U-0406,"Maharaja Ganga Singh University, Bikaner",Rajasthan,Bikaner,www.mgsubikaner.ac.in,State Public University,2003,Urban,"NH 15, JAISALMER ROAD, NH 15, JAISALMER ROAD, BIKANER"
U-0407,"Maharana Pratap University Of Agriculture & Technology, Udaipur",Rajasthan,Udaipur,www.mpuat.ac.in,State Public University,1999,Urban,"University Road, University Campus, UDAIPUR"
U-0408,"Maharishi Dayanand Saraswati University, Ajmer",Rajasthan,Ajmer,mdsuajmer.ac.in,State Public University,1987,Urban,"Pushkar Bypass, Ajmer"
U-0409,"Mahatma Jyoti Rao Phoole University, Jaipur",Rajasthan,Jaipur,www.mjrpuniversity.ac.in,State Private University,2008,Rural,"SP-2-3, Kant Kalwar Road, RIICO Industrial Area, Tala Mod, NH-8 Achrol Jaipur, Jaipur"
U-0410,"Malviya National Institute Of Technology, Jaipur",Rajasthan,Jaipur,www.mnit.ac.in,Institute of National Importance,1963,Urban,"Jawahar Lal Nehru Marg, Malaviya Nagar, Jaipur"
U-0411,"Mewar University, Chittorgarh",Rajasthan,Chittorgarh,www.mewaruniversity.org,State Private University,2008,Rural,"NH 48, GANGRAR, CHITTAURGARH"
U-0412,Mody University Of Science And Technology,Rajasthan,Sikar,www.modyuniversity.ac.in,State Private University,2004,Rural,"N.H. 11,, LAKSHMANGARH, LAKSHMANGARH"
U-0413,"Mohan Lal Sukhadia University, Uaipur",Rajasthan,Udaipur,www.mlsu.org,State Public University,1962,Urban,New Campus
